index,p,r,mean,lci,uci
"40",3,9,9296462.19142191,3158606.34320201,33381432.1564336
"41",4,0,4340173.6549643,2826569.88812538,7228343.10566343
"42",4,1,6595512.13500339,2992650.95466559,22825540.4257506
"43",4,2,6938832.95818749,3136190.33410426,23521851.6982898
"44",4,3,9185328.4314829,2832896.48266658,14430129.4523548
"45",4,4,3594026.87636827,2314794.09077,5779123.8768267
"46",4,5,7909149.49797529,3678927.12261486,19479673.7645238
"47",4,6,4885541.21487238,2837297.75774402,9034170.12766831
"48",4,7,4018537.50489822,2491296.53732178,9376264.7428638
"49",4,8,6181291.34591611,2914608.89334676,14174236.7771061
"50",4,9,7334200.38636224,3157392.15620551,22918127.3702224
"51",5,0,3934193.48980152,2592974.79421546,6208237.46213627
"52",5,1,5185222.78552016,2274548.33095398,6102094.0192035
"53",5,2,3661718.60104021,2370081.20682994,7107225.41991388
"54",5,3,3275288.93595308,2308512.65189345,6569513.621366
"55",5,4,2701993.51076287,2001729.78051676,4107170.56882824
"56",5,5,4175284.95462819,2596346.3266957,7992407.09707193
"57",5,6,3310871.61086312,2378464.49307217,5407677.08050802
"58",5,7,3336689.37988037,2074021.7296889,7659135.30947443
"59",5,8,3656782.63901191,2488205.18728843,7619187.57490195
"60",5,9,2740618.32571159,1951763.46520741,4390530.52869519
"61",6,0,2481829.33017811,1957788.32294095,3464481.69230445
"62",6,1,2208719.39169449,1787573.69730872,2822137.76328246
"63",6,2,2122748.78336802,1765799.99382556,2730889.57295488
"64",6,3,2223012.75899656,1772440.42725197,2957025.87284118
"65",6,4,2705981.3852686,2035049.4590504,3923016.95715249
"66",6,5,2558954.94245029,2012163.18759524,3427878.63056718
"67",6,6,2653167.75195928,2150434.02055204,3487040.02723952
"68",6,7,2386688.24734193,1897148.00628685,3348542.38038424
"69",6,8,2364330.00147643,1880821.60520233,3273620.5587911
"70",6,9,2845689.74758529,2079426.37977935,4437957.9836541
"71",7,0,2105118.77816638,1730013.40297959,2835260.29722075
"72",7,1,1910426.62695349,1672888.57722917,2309381.84694131
"73",7,2,1951267.14588083,1594553.79793139,2340870.36987998
"74",7,3,1882795.88530624,1632766.79129921,2291243.4300109
"75",7,4,1895240.84116679,1638971.70490617,2254673.95224222
"76",7,5,1915488.9638133,1620419.73708934,2299122.76542168
"77",7,6,1892313.6304789,1647957.70757043,2184443.65382221
"78",7,7,1823278.49511245,1627383.88005733,2080217.55032338
"79",7,8,1784400.18972051,1549038.00066529,2118154.45619214
"80",7,9,2050255.10761853,1779588.59739814,2448772.45807875
"81",8,0,1591913.25241254,1435725.8125998,1771273.22335552
"82",8,1,1576453.74005624,1434072.34658859,1730820.33794308
"83",8,2,1613289.8604235,1450682.63812163,1756387.27785329
"84",8,3,1827648.67750125,1616792.33101126,2090085.57685846
"85",8,4,1640102.96935755,1488288.30281388,1869481.47986973
"86",8,5,1699548.2437972,1513879.7211069,1870039.18512197
"87",8,6,1687494.65757462,1541231.54938619,1892996.71127629
"88",8,7,1822551.92369293,1630523.08955859,2078976.53823691
"89",8,8,1637608.13741428,1501658.33275406,1812327.9205951
"90",8,9,1675129.98670168,1547872.28838868,1899140.92502163
"91",9,0,1501228.35910566,1374177.40176628,1668135.95811335
"92",9,1,1489075.20194173,1381086.41692904,1593330.08643228
"93",9,2,1490875.37680896,1395993.78937446,1612437.16057833
"94",9,3,1540985.86378361,1418467.55791844,1669601.46727542
"95",9,4,1527159.21594968,1417043.77869299,1643817.48324999
"96",9,5,1397212.0858275,1289207.72399182,1527051.64647597
"97",9,6,1601066.36960674,1466958.85189906,1767609.79741141
"98",9,7,1486735.64954434,1389045.84234906,1586269.43574399
"99",9,8,1558185.00526281,1420869.16648449,1697650.10143716
"100",9,9,1516076.49715617,1405490.15837167,1668748.21383885
